seconds,class,coverage,time
12,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,16250
12,org.jsoup.parser.TokeniserState,0.425,15764
12,org.jsoup.parser.HtmlTreeBuilder,0.5821835741343473,49068
13,org.jsoup.parser.ParseError,0.9722222222222222,16017
13,org.jsoup.parser.TreeBuilder,0.8620056962621222,31552
13,org.jsoup.parser.Token,0.9586405529953917,30262
13,org.jsoup.parser.TokenQueue,0.9260048879112626,71944
13,org.jsoup.parser.Tokeniser,0.7637598358808455,31008
13,org.jsoup.parser.ParseSettings,0.9625,18972
13,org.jsoup.parser.ParseErrorList,0.9411764705882353,15700
13,org.jsoup.parser.XmlTreeBuilder,0.7554067099007653,29894
13,org.jsoup.parser.Tag,0.9410130868061055,26498
13,org.jsoup.parser.Parser,0.9164107950872658,26134
13,org.jsoup.parser.CharacterReader,0.9340521318325176,63454
13,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,17418
13,org.jsoup.parser.TokeniserState,0.425,16721
13,org.jsoup.parser.HtmlTreeBuilder,0.5692756669577455,41924
14,org.jsoup.parser.ParseError,0.9722222222222222,16553
14,org.jsoup.parser.TreeBuilder,0.7118157087710331,22700
14,org.jsoup.parser.Token,0.9586881162814471,30884
14,org.jsoup.parser.TokenQueue,0.9270993456559209,75131
14,org.jsoup.parser.Tokeniser,0.8100145177473744,30639
14,org.jsoup.parser.ParseSettings,0.9625,19657
14,org.jsoup.parser.ParseErrorList,0.9411764705882353,16457
14,org.jsoup.parser.XmlTreeBuilder,0.8387842955269939,28014
14,org.jsoup.parser.Tag,0.9385742399802464,25520
14,org.jsoup.parser.Parser,0.893888433727695,26565
14,org.jsoup.parser.CharacterReader,0.9479218769120801,69272
14,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,18064
14,org.jsoup.parser.TokeniserState,0.425,17636
14,org.jsoup.parser.HtmlTreeBuilder,0.530123600612115,38058
15,org.jsoup.parser.ParseError,0.9722222222222222,17516
15,org.jsoup.parser.TreeBuilder,0.8512153595078932,26849
15,org.jsoup.parser.Token,0.9631048387096774,31528
15,org.jsoup.parser.TokenQueue,0.9442164358578176,73998
15,org.jsoup.parser.Tokeniser,0.7683750007943886,30832
15,org.jsoup.parser.ParseSettings,0.9625,20439
15,org.jsoup.parser.ParseErrorList,0.9411764705882353,17357
15,org.jsoup.parser.XmlTreeBuilder,0.6318799098506387,25829
15,org.jsoup.parser.Tag,0.9373366162178701,26471
15,org.jsoup.parser.Parser,0.8959892740638294,30400
15,org.jsoup.parser.CharacterReader,0.952594989372977,71446
15,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,19167
15,org.jsoup.parser.TokeniserState,0.425,18647
15,org.jsoup.parser.HtmlTreeBuilder,0.551737658323776,41515
16,org.jsoup.parser.ParseError,0.9722222222222222,18473
16,org.jsoup.parser.TreeBuilder,0.8553820261745598,26101
16,org.jsoup.parser.Token,0.9631048387096774,32314
16,org.jsoup.parser.TokenQueue,0.9310969924436714,77807
16,org.jsoup.parser.Tokeniser,0.7635240916313213,32936
16,org.jsoup.parser.ParseSettings,0.9625,21686
16,org.jsoup.parser.ParseErrorList,0.9411764705882353,18421
16,org.jsoup.parser.XmlTreeBuilder,0.8602942059519987,27428
16,org.jsoup.parser.Tag,0.9357609859657692,27309
16,org.jsoup.parser.Parser,0.9164107950872658,30765
16,org.jsoup.parser.CharacterReader,0.9503644962888254,67540
16,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,20103
16,org.jsoup.parser.TokeniserState,0.425,19641
16,org.jsoup.parser.HtmlTreeBuilder,0.6328127211890909,50523
17,org.jsoup.parser.ParseError,0.9722222222222222,19631
17,org.jsoup.parser.TreeBuilder,0.8524818867383126,29274
17,org.jsoup.parser.Token,0.9631048387096774,33602
17,org.jsoup.parser.TokenQueue,0.9314280033084144,72854
17,org.jsoup.parser.Tokeniser,0.7525629378350671,32928
17,org.jsoup.parser.ParseSettings,0.9625,22541
17,org.jsoup.parser.ParseErrorList,0.9411764705882353,19429
17,org.jsoup.parser.XmlTreeBuilder,0.843036725486971,28068
17,org.jsoup.parser.Tag,0.9422507105684816,28019
17,org.jsoup.parser.Parser,0.8959892740638294,29250
17,org.jsoup.parser.CharacterReader,0.9508875088411266,74718
17,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,21210
17,org.jsoup.parser.TokeniserState,0.425,20707
17,org.jsoup.parser.HtmlTreeBuilder,0.5152651990435608,39877
18,org.jsoup.parser.ParseError,0.9722222222222222,20473
18,org.jsoup.parser.TreeBuilder,0.9040995825879546,29655
18,org.jsoup.parser.Token,0.9631048387096774,33759
18,org.jsoup.parser.TokenQueue,0.9419820040502292,72114
18,org.jsoup.parser.Tokeniser,0.7974333247560988,33858
18,org.jsoup.parser.ParseSettings,0.9625,23630
18,org.jsoup.parser.ParseErrorList,0.9411764705882353,20347
